titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
Jack Mimoun et les secrets de Val Verde,19/10/2022,257163,145455,271293
Tu ne tueras point,16/11/2016,216473,129857,208104
La Défense Lincoln,01/06/2011,111204,86553,185082
Éléonore,30/09/2020,20445,7208,267162
Damien veut changer le monde,13/03/2019,69426,31185,263918
Bienvenue chez les Rozes,09/04/2003,144758,103900,46547
West Side Story,15/12/2021,177526,130164,227548
Le Roi Lion,24/07/2019,3252896,1309472,250594
The Suicide Squad,04/08/2021,256516,181677,245535
"Stardust, le mystère de l'étoile",31/10/2007,180954,158783,110644
Jujutsu Kaisen 0,23/03/2022,347583,90526,291677
Tár,01/02/2023,98869,72394,291967
Red Eye / sous haute pression,02/11/2005,144389,40953,57881
Collateral,06/10/2004,592916,326586,53042
Un homme en colère,23/06/2021,149025,105201,242600
Winter Sleep,13/08/2014,80567,59697,220032
First Man - le premier homme sur la Lune,24/10/2018,318668,243858,135374
N'oublie jamais,28/06/2004,13025000,7441973,47422
Conjuring : Les dossiers Warren,28/08/2013,377560,265137,203607
Le Garçon au pyjama rayé,17/11/2008,474390,1647514,135215
Looper,07/11/2012,424568,227100,139291
L'Improbable voyage d'Harold Fry,07/06/2023,24634,12188,290424
The Lost City of Z,22/03/2017,150045,76883,223754
Les Cyclades,18/01/2023,170382,96097,294450
Scream,19/01/2022,212555,122173,194073
House of Gucci,01/12/2021,293474,181408,278661
La mauvaise réputation,13/06/2018,14799,10007,257976
L'Année du requin,10/08/2022,79534,39418,293047
Ad Astra,25/09/2019,434069,287626,247520
Ninjababy,28/09/2022,8494,2841,290428
Les Figures de l'ombre,15/03/2017,230488,235282,219070
Le Royaume de Naya,05/04/2023,163496,58427,304935
Barry Seal : American Traffic,20/09/2017,271607,138255,227043
Les Têtes givrées,15/02/2023,61469,28820,291804
Carbone,08/11/2017,334791,169674,251030
Des étoiles plein les yeux,27/09/2004,4002067,2158637,51916
Rock'n Roll,22/02/2017,630004,352710,244238
C.R.A.Z.Y.,10/05/2006,91203,65988,92604
One Piece Film - Red,17/08/2022,575182,199387,298674
Elle,01/06/2016,213665,127451,231874
Le Journal d'une baby-sitter,21/05/2008,33297,15985,110788
Profession du père,04/08/2021,25406,10070,275138
Au coeur de l'Océan,16/12/2015,138532,76571,144338
La Montagne,08/02/2023,39384,29681,283583
Barbare,12/09/2022,10543948,6500188,279104
L’Anniversaire de Tommy,15/06/2022,9205,8930,299775
Les Infidèles,07/03/2012,1082028,550596,191442
Mektoub My Love : Canto Uno,28/03/2018,55792,35311,193907
Jardins enchantés,02/02/2022,8127,8013,293147
Alita : Battle Angel,20/02/2019,782778,521833,61280
Astrakan,15/02/2023,3109,380,306087
"Snowpiercer, Le Transperceneige",06/11/2013,272262,179692,123530
Goliath,16/03/2022,267284,238427,281976
"Vaiana, la légende du bout du monde",23/11/2016,22640,26882,225958
Man on Fire,20/10/2004,180444,109416,47141
La Traversée,06/07/2022,189578,102309,297448
Suicide Squad,10/08/2016,1108407,438495,144185
Les Huit Montagnes,28/12/2022,29347,23501,290592
Seul au monde,31/01/2001,442316,209093,27770
Amsterdam,02/11/2022,24277,119520,281087
