titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
The Duke,11/05/2022,"Comédie,Drame",95.0,Roger Michell, Pathé ,"Jim Broadbent,Helen Mirren,Fionn Whitehead",,,Anglais,Long-métrage,2020,-,"3,5","3,8",21 articles de presse,,"En 1961, Kempton Bunton, un chauffeur de taxi sexagénaire, vole à la National Gallery de Londres le portrait du Duc de Wellington peint par Goya. Il envoie alors des notes de rançon, menaçant de ne rendre le tableau qu’à condition que le gouvernement rende l’accès à la télévision gratuit pour les personnes âgées. Cette histoire vraie raconte comment un inoffensif retraité s’est vu recherché par toutes les polices de Grande Bretagne, accomplissant le premier (et unique) vol dans l’histoire du musée.",54 622
Les Fantasmes,18/08/2021,Romance,101.0,Stéphane Foenkinos, Gaumont Distribution ,"Karin Viard,Jean-Paul Rouve,Ramzy Bedia",,,Français,Long-métrage,2020,-,"2,5","2,0",19 articles de presse,,"Face à leurs fantasmes, six couples tentent d’explorer les faces cachées de leur vie intime. Six questionnements sur l’accès au plaisir. Du jeu de rôle à l’abstinence, en passant par l’exhibition, six histoires séparées avec au centre le même questionnement sur le désir aujourd’hui. Le sien mais aussi celui de l’autre…",60 910
Waves,29/01/2020,,137.0,Trey Edward Shults, Universal Pictures International France ,"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown",,,Anglais,Long-métrage,2020,-,"2,8","3,7",16 articles de presse,,"Le parcours des membres d’une famille afro-américaine, menée par un patriarche protecteur, mais très exigeant, sur les eaux troubles du malheur et du deuil. Un chemin douloureux qui finira par les rassembler sur les rives de l’amour et du pardon, si tant est qu’ils parviennent à accepter de lâcher prise.",1 283
Les Nouveaux mutants,26/08/2020,"Thriller,Fantastique,Science fiction",93.0,Josh Boone, The Walt Disney Company France ,"Maisie Williams,Anya Taylor-Joy,Charlie Heaton",The New Mutants,,Anglais,Long-métrage,2020,-,"2,3","2,1",11 articles de presse,,"Rahne Sinclair, Illyana Rasputin, Sam Guthrie et Roberto da Costa sont quatre jeunes mutants retenus dans un hôpital isolé pour suivi psychiatrique. Le Dr Cecilia Reyes, qui estime ces adolescents dangereux pour eux-mêmes comme pour la société, les surveille attentivement et s'efforce de leur apprendre à maîtriser leurs pouvoirs. Lorsqu’une nouvelle venue, Danielle Moonstar, rejoint à son tour l'établissement, d’étranges événements font leur apparition. Les jeunes mutants sont frappés d'hallucinations et de flashbacks, et leurs nouvelles capacités - ainsi que leur amitié – sont violemment mises à l'épreuve dans une lutte effrénée pour leur survie.",160 373
Tropique de la violence,23/03/2022,,92.0,Manuel Schapira, Tandem ,"Gilles-Alane Ngalamou Hippocrate,Céline Sallette,Dali Benssalah",,,Français,Long-métrage,2020,-,"2,5","3,1",10 articles de presse,,"Mayotte, territoire oublié de la République. À la mort de sa mère, le jeune Moïse rejoint un bidonville peuplé de mineurs entièrement livrés à eux-mêmes. Il y fait la rencontre de Bruce, chef de clan tyrannique et imprévisible. Sur cette île en train de s’embraser, le destin de Moïse bascule.",4 697
"Les Choses qu’on dit, les choses qu’on fait",16/09/2020,"Romance,Comédie",122.0,Emmanuel Mouret, Pyramide Distribution ,"Camélia Jordana,Niels Schneider,Vincent Macaigne",,,Français,Long-métrage,2020,-,"4,3","3,6",32 articles de presse,6 prix et 17 nominations,,77 092
Lui,27/10/2021,Drame,88.0,Guillaume Canet, Pathé ,"Guillaume Canet,Virginie Efira,Mathieu Kassovitz",,,Français,Long-métrage,2020,"5,2M€","2,0","1,7",21 articles de presse,,"Un compositeur en mal d’inspiration, qui vient de quitter femme et enfants, pense trouver refuge dans une vieille maison à flanc de falaise, sur une île bretonne déserte. Dans ce lieu étrange et isolé, il ne va trouver qu’un piano désaccordé et des visiteurs bien décidés à ne pas le laisser en paix.",120 111
Supernova,08/09/2021,Romance,94.0,Harry Macqueen, KMBO ,"Colin Firth,Stanley Tucci,Pippa Haywood",,,Anglais,Long-métrage,2020,-,"3,3","3,4",17 articles de presse,,"Sam et Tusker s'aiment depuis 20 ans. À bord de leur vieux camping-car, ils rendent visite à leurs amis et famille et retournent sur les lieux de leur jeunesse. Depuis que Tusker est atteint d'une grave maladie, tous leurs projets ont été suspendus. Le temps est compté et être ensemble est désormais la chose la plus précieuse. Cependant, ce dernier voyage va mettre leur amour à rude épreuve.",11 765
Supernova,,,,Natalia López,,Mia Maestro,,,Espagnol,Long-métrage,2021,-,,,,,"Cela fait des années qu'Isabel n'a pas ressenti le plaisir de vivre. Ce profond vide existentiel l'amène à briser son mariage et à abandonner ses enfants au profit de rencontres sexuelles intenses avec des inconnus, qui conduiront son corps à l'autodestruction. Au cours de ce voyage intime, Isabel devra se confronter à qui elle est vraiment pour retrouver sa famille.",11 765
Enquête sur un scandale d'état,09/02/2022,"Drame,Thriller",123.0,Thierry de Peretti, Pyramide Distribution ,"Roschdy Zem,Pio Marmaï,Vincent Lindon",,,Français,Long-métrage,2020,-,"4,1","2,7",30 articles de presse,,"Octobre 2015. Les douanes françaises saisissent sept tonnes de cannabis en plein cœur de la capitale. Le jour même, un ancien infiltré des stups, Hubert Antoine, contacte Stéphane Vilner, jeune journaliste à Libération. Il prétend pouvoir démontrer l’existence d’un trafic d’État dirigé par Jacques Billard, un haut gradé de la police française. D’abord méfiant, Stéphane finit par plonger dans une enquête qui le mènera jusqu'aux recoins les plus sombres de la République.",101 542
Joyeuse retraite !,20/11/2019,,97.0,Fabrice Bracq, SND ,"Thierry Lhermitte,Michèle Laroque,Nicole Ferroni",,,Français,Long-métrage,2020,-,"2,8","2,1",5 articles de presse,,"L’heure de la retraite est enfin arrivée pour Philippe et Marilou ! Ils s’apprêtent à réaliser leur rêve : partir vivre sous le soleil du Portugal. Au revoir le travail, au revoir la famille, au revoir les emmerdes ! Ils pensaient enfin être tranquilles… mais leur famille a d’autres projets pour eux !",477 116
Entre les vagues,16/03/2022,,100.0,Anaïs Volpé, KMBO ,"Souheila Yacoub,Déborah Lukumuena,Matthieu Longatte",,,Français,Long-métrage,2020,1M€,"3,2","3,7",19 articles de presse,3 nominations,"Rêver, foncer, tomber, repartir, rêver encore, et recommencer. Elles ont l’énergie de leur jeunesse, sa joie, son audace, son insouciance. Deux meilleures amies, l'envie de découvrir le monde. Margot et Alma sont inarrêtables, inséparables.",10 080
The Boy : la malédiction de Brahms,26/02/2020,Thriller,87.0,William Brent Bell, Metropolitan FilmExport ,"Katie Holmes,Christopher Convery,Owain Yeoman",Brahms: The Boy II,,Anglais,Long-métrage,2020,-,"2,1","2,1",7 articles de presse,,"Recherchant un environnement calme pour leur fils et ignorant tout de son funeste passé, un couple s'installe dans le Manoir Heelshire. Bientôt le jeune garçon se lie d’une troublante amitié avec une poupée étrangement réaliste qu'il appelle Brahms…",95 830
The Good criminal,14/10/2020,Thriller,98.0,Mark Williams (II), Metropolitan FilmExport ,"Liam Neeson,Kate Walsh,Jai Courtney",Honest Thief,,Anglais,Long-métrage,2020,-,"2,3","2,7",4 articles de presse,,"Tom, un légendaire voleur de banque décide de se ranger et passe un deal, contre son immunité, avec le FBI qui n’a jamais réussi à lui mettre la main dessus. Il réalise vite que les Fédéraux ont un autre plan en tête : partager son butin et le faire accuser d’un meurtre. Pris au piège, pourchassé par la police et le FBI, il décide de reprendre les choses en main et se lance dans une vengeance explosive.",116 387
Relic,07/10/2020,,89.0,Natalie Erika James, Star Invest Films France ,"Emily Mortimer,Robyn Nevin,Bella Heathcote",,"U.S.A.,Australie",Anglais,Long-métrage,2020,-,"3,3","2,4",22 articles de presse,,"Lorsqu'Edna, la matriarche et veuve de la famille, disparaît, sa fille Kay et sa petite-fille Sam se rendent dans leur maison familiale isolée pour la retrouver. Peu après le retour d'Edna, et alors que son comportement devient de plus en plus instable et troublant, les deux femmes commencent à sentir qu'une présence insidieuse dans la maison. Edna refuse de dire où elle était, mais le sait-elle vraiment...",39 142
Les Trolls 2 - Tournée mondiale,14/10/2020,"Comédie,Musical",94.0,David P. Smith, Universal Pictures International France ," Vitaa,Anna Kendrick,Matt Pokora",Trolls World Tour,,Anglais,Long-métrage,2020,-,"2,8","2,5",59 Critiques Spectateurs,,"Reine Barb, membre de la royauté hard-rock, aidée de son père Roi Thrash, veut détruire tous les autres genres de musique pour laisser le rock régner en maître. Le destin du monde en jeu, Poppy et Branch, accompagnés de leurs amis – Biggie, Chenille, Satin, Cooper  et Guy Diamond – partent visiter tous les autres territoires pour unifier les Trolls contre Barb, qui cherche à tous les reléguer au second-plan.",419 574
Tralala,06/10/2021,,120.0,Arnaud Larrieu, Pyramide Distribution ,"Mathieu Amalric,Josiane Balasko,Mélanie Thierry",,,Français,Long-métrage,2020,-,"3,8","2,6",36 articles de presse,,"Tralala, la quarantaine, chanteur dans les rues de Paris, croise un soir une jeune femme qui lui adresse un seul message avant de disparaitre : ""Surtout ne soyez pas vous-même"". Tralala a t-il rêvé ? Il quitte la capitale et finit par retrouver à Lourdes celle dont il est déjà amoureux. Elle ne se souvient plus de lui. Mais une émouvante sexagénaire croit reconnaître en Tralala son propre fils, Pat, disparu vingt ans avant aux Etats-Unis. Tralala décide d’endosser le ""rôle"". Il va se découvrir une nouvelle famille et trouver le génie qu’il n’a jamais eu.",41 732
"Barbie : Grande Ville, Grands Rêves",08/09/2021,"Famille,Comédie musicale",60.0,Scott Pleydell-Pearce,"
385 entrées
","America Young,Greg Chun,Kirsten Day","Barbie: Big City, Big Dreams",,Anglais,Long-métrage,2020,-,"1,9",,,,"Découvrez deux fois plus de chant et deux fois plus de plaisir dans le tout nouveau film musical Barbie : Grande Ville, Grands Rêves™. Barbie troque les rivages ensoleillés de Malibu pour les lumières vives de Broadway afin de suivre un programme d'été exclusif d'arts du spectacle et rencontre... Barbie ! Amies rapides, les deux découvrent qu'elles partagent plus qu'un nom en explorant la ville de New York et toutes les choses étonnantes qu'elles ont en commun. Alors qu'ils sont en compétition pour le très convoité Spotlight Solo de Times Square, les amis découvrent que la compétition ne consiste pas seulement à gagner, mais aussi à s'efforcer d'être le meilleur, à surmonter ses doutes et à partager la vedette. Cette nouvelle aventure passionnante propose de nouveaux personnages, un nouveau décor à New York et six nouvelles chansons !",391
The Housewife,09/03/2022,Romance,123.0,Yukiko Mishima, Art House ," Kaho,Tasuku Emoto,Shôtarô Mamiya",Red,,Japonais,Long-métrage,2020,-,"3,2","3,6",15 articles de presse,,"C’est en recroisant son ancien amant de faculté, que Toko, depuis longtemps femme au foyer, voit soudain renaître en elle le désir de travailler, et de reprendre son métier d’architecte. Mais peut-on jamais réinventer sa vie ?",10 429
Parents d'élèves,07/10/2020,Famille,89.0,Noémie Saglio, UGC Distribution ,"Vincent Dedienne,Camélia Jordana,Alix Poisson",,,Français,Long-métrage,2020,-,"3,1","2,6",23 articles de presse,,"Vincent, trentenaire sans enfant, infiltre une tribu aux codes et au langage mystérieux : les parents d’élèves. Se retrouver aux réunions parents-prof, aux sorties d’école et à la kermesse de fin d’année relève d’un sacré exploit ! Mais voilà, Vincent a une très bonne raison d’être là et finit même par se sentir bien dans cette communauté un peu spéciale…",110 248
L'Amour c’est mieux que la vie,19/01/2022,"Romance,Musical",115.0,Claude Lelouch, Metropolitan FilmExport ,"Sandrine Bonnaire,Gérard Darmon,Ary Abittan",,,Français,Long-métrage,2020,-,"3,1","2,7",18 articles de presse,,"Les trois A : L’AMOUR, L’AMITIÉ et L’ARGENT sont les trois principales préoccupations de l’humanité. Pour en parler le plus simplement possible, Gérard, Ary et Philippe ont fait connaissance il y a 20 ans, à leur sortie de prison, et se sont tout de suite posé la vraie question : Et si l’honnêteté était la meilleure des combines ? Aujourd’hui, ils sont inséparables et scrupuleusement vertueux… Mais Gérard apprend qu’il souffre d’un mal incurable. Le sachant condamné, Ary et Philippe veulent lui offrir sa dernière histoire d’amour… car Gérard a toujours répété que l'amour c’était mieux que la vie.",105 611
Kung-Fu Zohra,09/03/2022,"Action,Arts Martiaux",98.0,Mabrouk el Mechri, Gaumont Distribution ,"Sabrina Ouazani,Ramzy Bedia,Eye Haïdara",,,Français,Long-métrage,2020,-,"2,9","1,5",14 articles de presse,,"Persuadée qu’une rupture briserait le cœur de sa petite fille, Zohra n’arrive pas à quitter son mari Omar malgré les violences qu’elle subit. C’est alors qu’elle rencontre un maître de Kung-Fu qui va lui apprendre à se défendre et à rendre désormais coup pour coup !",28 119
Monster Hunter,,"Aventure,Fantastique",103.0,Paul W.S. Anderson, Sony Pictures Releasing France ,"Milla Jovovich,Tony Jaa, T.I.",,,Anglais,Long-métrage,2020,-,"2,0","1,8",8 articles de presse,,"Notre monde en cache un autre, dominé par de puissants et dangereux monstres. Lorsque le Lieutenant Artemis et son unité d’élite traversent un portail qui les transporte dans cet univers parallèle, ils subissent le choc de leur vie. Au cours d’une tentative désespérée pour rentrer chez elle, l’intrépide lieutenant rencontre un chasseur mystérieux, qui a survécu dans ce monde hostile grâce à ses aptitudes uniques. Faisant face à de terrifiantes et incessantes attaques de monstres, ces guerriers vont devoir faire équipe pour se défendre et espérer trouver un moyen de retourner chez eux.",1 125 000
Trois fois rien,16/03/2022,,94.0,Nadège Loiseau, Le Pacte ,"Philippe Rebbot,Antoine Bertrand,Côme Levin",,,Français,Long-métrage,2020,-,"3,8","3,7",16 articles de presse,3 nominations,"Brindille, Casquette et La Flèche vivent comme ils peuvent, au jour le jour, dans le bois de Vincennes. Mais leur situation précaire devrait changer du tout au tout le jour où ils gagnent au Loto. Encore faut-il pouvoir encaisser l’argent, car sans domicile, pas de carte d’identité à jour et sans compte bancaire, pas de paiement !",55 960
Greenland - Le dernier refuge,05/08/2020,"Action,Drame",120.0,Ric Roman Waugh, Metropolitan FilmExport ,"Gerard Butler,Morena Baccarin,David Denman",Greenland,,Anglais,Long-métrage,2020,-,"2,9","3,1",16 articles de presse,,"Une comète est sur le point de s’écraser sur la Terre et de provoquer un cataclysme sans précédent. John Garrity décide de se lancer dans un périlleux voyage avec son ex-épouse Allison et leur fils Nathan pour rejoindre le dernier refuge sur Terre à l’abri du désastre. Alors que l’urgence devient absolue et que les catastrophes s’enchainent de façon effrénée, les Garrity vont être témoin du meilleur comme du pire de la part d’une humanité paniquée au milieu de ce chaos.",193 402
Madre,22/07/2020,Thriller,129.0,Rodrigo Sorogoyen, Le Pacte ,"Marta Nieto,Jules Porier,Alex Brendemühl",,"Espagne,France","Espagnol, Français",Long-métrage,2020,-,"3,6","3,3",32 articles de presse,,"Dix ans se sont écoulés depuis que le fils d’Elena, alors âgé de 6 ans, a disparu. Dix ans depuis ce coup de téléphone où seul et perdu sur une plage des Landes, il lui disait qu’il ne trouvait plus son père. Aujourd’hui, Elena y vit et y travaille dans un restaurant de bord de mer. Dévastée depuis ce tragique épisode, sa vie suit son cours tant bien que mal. Jusqu’à ce jour où elle rencontre un adolescent qui lui rappelle furieusement son fils disparu…",30 484
Rouge,11/08/2021,,86.0,Farid Bentoumi, Ad Vitam ,"Zita Hanrot,Sami Bouajila,Céline Sallette",,"France,Belgique",Français,Long-métrage,2020,-,"3,7","3,5",20 articles de presse,,,35 011
Sons of Philadelphia,26/05/2021,"Thriller,Action",90.0,Jérémie Guez, The Jokers / Les Bookmakers ,"Matthias Schoenaerts,Joel Kinnaman,Maika Monroe",The Sound of Philadelphia,"U.S.A.,France,Belgique",Anglais,Long-métrage,2020,-,"3,4","2,5",24 articles de presse,2 nominations,"Philadelphie. Il y a trente ans, la famille de Michael a recueilli Peter à la mort de son père, dans des circonstances opaques. Aujourd’hui, Peter et Michael sont deux petits malfrats aux tempéraments opposés. L’un est aussi violent et exubérant que l’autre est taciturne. Quand Michael est désigné comme « gênant » par la mafia italienne », le passé trouble de la famille ressurgit…",15 334
Le Bonheur des uns...,09/09/2020,,100.0,Daniel Cohen, SND ,"Vincent Cassel,Bérénice Bejo,Florence Foresti",,"France,Belgique",Français,Long-métrage,2020,-,"2,9","2,6",11 articles de presse,,"Léa, Marc, Karine et Francis sont deux couples d’amis de longue date. Le mari macho, la copine un peu grande-gueule, chacun occupe sa place dans le groupe. Mais, l’harmonie vole en éclat le jour où Léa, la plus discrète d’entre eux, leur apprend qu’elle écrit un roman, qui devient un best-seller. Loin de se réjouir, petites jalousies et grandes vacheries commencent à fuser. Humain, trop humain ! C'est face au succès que l'on reconnait ses vrais amis… Le bonheur des uns ferait-il donc le malheur des autres ?",95 111
